,Subtract Mean_adjr2,Subtract Mean_tval,Subtract Mean_bic,Subtract Mean_corr,Subtract Median_adjr2,Subtract Median_tval,Subtract Median_bic,Subtract Median_corr,Z-score_adjr2,Z-score_tval,Z-score_bic,Z-score_corr,ROI
rACC,0.024163550615629914,60.29252004354492,3179838.555922856,0.10026229656357215,0.02453527596530558,61.208131065060016,3179728.71288984,0.10112560640215143,0.03128476269774616,76.03435374827582,3177726.9590593074,0.13223337629435342,rACC
dACC,0.042606507388039505,72.81755599535629,2948178.6562140854,0.11864982897315059,0.042815918224766714,73.25728030553566,2948115.5894099227,0.11838429743709968,0.05526493776236718,96.10559168951931,2944341.397850509,0.16513662269876583,dACC
vlPFC,0.02513214556109522,60.506909099239756,3320657.0508906967,0.09987420627471334,0.025281301113913357,60.87497348133468,3320612.937387874,0.09977266433184598,0.033398321070639225,78.47186418760921,3318202.051974618,0.1357674899255426,vlPFC
vmPFC,0.024102115319605044,65.1925346158741,3200766.68906113,0.10836365589536312,0.024330515891457405,65.71567753585033,3200699.2070092997,0.10860431147978197,0.031227731721049867,80.01140562496965,3198653.9149237126,0.13811029673001526,vmPFC
OFCant,0.02893111358263578,68.24359312303211,3055426.3618624024,0.11337693590304447,0.029098185270494903,68.61194417904254,3055376.7557919296,0.11325251107063686,0.036551475203843276,83.51217185188237,3053155.034030381,0.14463658873524857,OFCant
OFClat,0.022665080206459742,58.25856661192176,2997268.959501509,0.09679970622485626,0.02287318076092315,58.789303082169035,2997207.5662402543,0.09702527087897864,0.029365001710232597,73.53555882047426,2995285.771806072,0.1278703988035658,OFClat
OFCmed,0.040524137558332285,74.21319576687083,2783422.9756063423,0.12096718544292379,0.040677599612977566,74.52917413996055,2783376.860169086,0.12054244480950732,0.052332752990628784,95.75275503374498,2779852.748160146,0.16407075290084355,OFCmed
OFCpost,0.03343895733747615,71.39507638110628,3091080.0718103885,0.1183250587309392,0.0337317024845637,72.01489024565115,3090992.740327162,0.11854781047406177,0.04251784899035782,88.76495015194254,3088359.276457363,0.153642303301344,OFCpost
dmPFC,0.016445775398383655,52.017944124784904,3736792.4099817933,0.08681210201930706,0.01678614263803846,52.977397802075124,3736692.6240669494,0.08791030087727549,0.022389128410318815,66.8954159096245,3735045.005928732,0.11632292261172081,dmPFC
dlPFC,0.024375124659561598,62.34162953754944,3786313.5137512316,0.10367591115976307,0.024709489882725477,63.13991812147177,3786214.6909160633,0.10435059032566874,0.03194051346616256,78.5485723164539,3784069.2063417067,0.13622675871479215,dlPFC
MFG,0.02772583418833674,65.5428939637135,3721890.6135992855,0.10825955519388986,0.027968405115900152,66.09755770336048,3721818.677178385,0.10845581956411562,0.03609853833744581,82.68852991042343,3719397.176931192,0.14272767450738988,MFG
IFG,0.029406288657274682,63.17903147030227,3424390.4660687936,0.10302117565284578,0.029608616596180082,63.65950183431027,3424330.361387768,0.10302615444863496,0.03915118715581356,83.40234672070714,3421481.26422456,0.14324222520221735,IFG
