,value,choice,choice_prob
rACC,0.131416244711,0.00255664804464,0.0496949334859
dACC,0.164571351639,0.00614373884039,0.0629124127959
vlPFC,0.138631344379,0.00518799776159,0.0522465816613
vmPFC,0.12697254624,2.45304906576e-05,0.0434641647263
OFCant,0.135660072692,0.00455931213808,0.0469499339547
OFClat,0.12768172732,0.00396163475326,0.0450067593945
OFCmed,0.154911799575,0.00296907865819,0.0567084526153
OFCpost,0.151767085836,0.0062287715098,0.0559825117223
dmPFC,0.116017377117,0.000827882153393,0.0435276265977
dlPFC,0.130875215674,0.0018337221954,0.0485762701832
MFG,0.137109022659,0.002399376211,0.0510959027419
IFG,0.147055054163,0.0040281086463,0.0573733499263
