,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.0249011604936,62.1294699127,3179666.84184,rACC
dACC,0.0474269632609,82.4149743894,2946769.69212,dACC
vlPFC,0.0289129134761,69.295279011,3319583.06855,vlPFC
vmPFC,0.0239595464758,64.8952491227,3200855.09064,vmPFC
OFCant,0.0278544563491,65.8543985208,3055792.11978,OFCant
OFClat,0.0228051699384,58.650870249,2997273.91898,OFClat
OFCmed,0.0442091714837,81.513441341,2782359.86446,OFCmed
OFCpost,0.0329822168678,70.4467967532,3091262.56036,OFCpost
dmPFC,0.0169447398306,53.4565993207,3736692.40305,dmPFC
dlPFC,0.0258085174526,65.7300903868,3785935.91746,dlPFC
MFG,0.0299600798024,70.5255289629,3721273.63675,MFG
IFG,0.0349203926095,75.2707439308,3422794.20262,IFG
