,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.03554087284486984,84.14877191712715,3176480.6479385155,0.15027629524038616,rACC
dACC,0.06347405666564665,108.84106600979945,2941848.458764694,0.19235616410416378,dACC
vlPFC,0.038672380473588785,88.1777854060065,3316647.839762559,0.15661049164324733,vlPFC
vmPFC,0.03536138409554512,87.55973875542456,3197444.2797814826,0.15477230408576131,vmPFC
OFCant,0.04105360082543641,91.44720234896599,3051827.8148132646,0.1625338440349791,OFCant
OFClat,0.033488998822023275,81.625492956034,2994081.38760208,0.1457760941568199,OFClat
OFCmed,0.05981766440384595,107.41887963446399,2777589.786544838,0.18922566741737176,OFCmed
OFCpost,0.04792871225941864,97.79834418629689,3086748.5760957985,0.1737824532127313,OFCpost
dmPFC,0.0260650584726847,74.71304719327043,3733982.0648383754,0.13304061324833358,dmPFC
dlPFC,0.036530173511062136,87.03256075684985,3782722.2422287436,0.15475278675238047,dlPFC
MFG,0.04121061606364307,91.72262325896432,3717887.2445219094,0.16247499092410092,MFG
IFG,0.04547462790653478,94.41377642434523,3419600.8061903818,0.16670239211539747,IFG
