,Divisive,ROI
rACC,84.2355798137,rACC
dACC,108.592903483,dACC
vlPFC,87.9646443498,vlPFC
vmPFC,87.5593358802,vmPFC
OFCant,91.3156312813,OFCant
OFClat,81.5511518269,OFClat
OFCmed,107.165055076,OFCmed
OFCpost,97.7043632797,OFCpost
dmPFC,74.8235580137,dmPFC
dlPFC,87.0462291997,dlPFC
MFG,91.6214115697,MFG
IFG,94.1914236824,IFG
