,MC,MC by day,RW Update,RW Update by day,ROI
rACC,67.1065310004,64.2768258734,85.0776721051,66.8952196344,rACC
dACC,81.9090403837,76.0943451656,92.9807579632,90.800202352,dACC
vlPFC,66.4957738721,62.6993593661,76.7011510093,75.1863613613,vlPFC
vmPFC,69.1251197116,68.5935383596,75.6807282253,68.975424849,vmPFC
OFCant,71.0569343431,65.4106478864,89.2525119541,71.1965798236,OFCant
OFClat,63.9256093582,56.466832599,87.4569418231,64.0224397675,OFClat
OFCmed,81.2598158979,78.1975628428,87.6371308396,88.8980733469,OFCmed
OFCpost,77.5793979172,69.1833459153,116.988190942,76.9626575785,OFCpost
dmPFC,55.5862832178,57.2136889227,55.774079007,56.0123794244,dmPFC
dlPFC,65.9232344013,67.4452639874,66.2838698518,69.739709661,dlPFC
MFG,69.2310308811,69.0760692663,60.1576160329,75.097171784,MFG
IFG,69.2827023161,68.8742879743,62.0469531059,80.8642703838,IFG
