,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0270499947314,67.1065310004,3179007.66796,0.0258130356917,64.2768258734,3179373.96509,0.036050526188,85.0776721051,3176339.83178,0.0269525178592,66.8952196344,3179048.12213,rACC
dACC,0.0471651224117,81.9090403837,2946825.78494,0.0441884050216,76.0943451656,2947725.04872,0.0533752172331,92.9807579632,2944952.21348,0.0520959456762,90.800202352,2945341.55994,dACC
vlPFC,0.0276585195526,66.4957738721,3319932.09397,0.0260265222878,62.6993593661,3320415.57679,0.0324854320608,76.7011510093,3318508.91827,0.0317281434638,75.1863613613,3318734.48686,vlPFC
vmPFC,0.0258542501619,69.1251197116,3200271.75119,0.025610851195,68.5935383596,3200343.77651,0.0289960394019,75.6807282253,3199352.00271,0.0257821512971,68.975424849,3200304.65991,vmPFC
OFCant,0.0302217081618,71.0569343431,3055066.08672,0.0276676557935,65.4106478864,3055824.36867,0.0397666084364,89.2525119541,3052226.05168,0.0302840127879,71.1965798236,3055059.13566,OFCant
OFClat,0.0249728577808,63.9256093582,2996610.53617,0.0219690678477,56.466832599,2997497.34372,0.0367057817994,87.4569418231,2993131.82669,0.0250107895215,64.0224397675,2996610.89187,OFClat
OFCmed,0.0440819998494,81.2598158979,2782375.07787,0.0424965446019,78.1975628428,2782852.847,0.0475574594412,87.6371308396,2781336.55861,0.0482732458816,88.8980733469,2781119.81187,OFCmed
OFCpost,0.0364579524947,77.5793979172,3090201.31837,0.0324068479392,69.1833459153,3091410.9024,0.0609202090254,116.988190942,3082799.06034,0.036142468683,76.9626575785,3090307.27009,OFCpost
dmPFC,0.0177350261878,55.5862832178,3736437.3996,0.0183534597087,57.2136889227,3736255.8289,0.0178021124127,55.774079007,3736429.28049,0.0178918914994,56.0123794244,3736402.92685,dmPFC
dlPFC,0.0258999243248,65.9232344013,3785885.72199,0.0265751420043,67.4452639874,3785685.81157,0.0260552255921,66.2838698518,3785851.32625,0.0276169322257,69.739709661,3785388.67025,dlPFC
MFG,0.0293680362664,69.2310308811,3721426.39748,0.0292970528308,69.0760692663,3721447.48042,0.0254610434337,60.1576160329,3722596.10656,0.0321604887369,75.097171784,3720607.35125,MFG
IFG,0.0320769566303,69.2827023161,3423619.23512,0.0318905807335,68.8742879743,3423674.74263,0.0289251952336,62.0469531059,3424568.0473,0.0377824497005,80.8642703838,3421926.37304,IFG
