,Divisive,RW Update,MC,ROI
rACC,0.147768074023,0.167916173757,0.115337900913,rACC
dACC,0.195342479193,0.214733728587,0.139031405476,dACC
vlPFC,0.15906356862,0.161219373042,0.113657878609,vlPFC
vmPFC,0.153710293563,0.151141223764,0.118064483411,vmPFC
OFCant,0.164388731784,0.175372621863,0.121763212284,OFCant
OFClat,0.146130438166,0.165228357964,0.109829899046,OFClat
OFCmed,0.192039307197,0.202655510858,0.137564275963,OFCmed
OFCpost,0.174322466652,0.208481043655,0.132829805996,OFCpost
dmPFC,0.130052758117,0.123814977554,0.0955838719322,dmPFC
dlPFC,0.153436752402,0.15002843501,0.113106208042,dlPFC
MFG,0.163072061699,0.1521248648,0.118137218834,MFG
IFG,0.169148767271,0.161863700739,0.117397329703,IFG
