,Simple Fractional Model_adjr2,Simple Fractional Model_tval,Simple Fractional Model_bic,ROI
rACC,0.0355885980793,84.2355798137,3176466.38137,rACC
dACC,0.0633056591729,108.592903483,2941900.29356,dACC
vlPFC,0.0385504639094,87.9646443498,3316684.39995,vlPFC
vmPFC,0.0353611541457,87.5593358802,3197444.34851,vmPFC
OFCant,0.0409758647961,91.3156312813,3051851.18462,OFCant
OFClat,0.033449247457,81.5511518269,2994093.24477,OFClat
OFCmed,0.0596468434203,107.165055076,2777642.16279,OFCmed
OFCpost,0.0478699799355,97.7043632797,3086766.36049,OFCpost
dmPFC,0.026119822098,74.8235580137,3733965.85349,dmPFC
dlPFC,0.03653792168,87.0462291997,3782719.92373,dlPFC
MFG,0.0411506482075,91.6214115697,3717905.27579,MFG
IFG,0.0453399231246,94.1914236824,3419641.48887,IFG
