,Divisive,RW Update,ROI
rACC,0.147768074023,0.167916173757,rACC
dACC,0.195342479193,0.214733728587,dACC
vlPFC,0.15906356862,0.161219373042,vlPFC
vmPFC,0.153710293563,0.151141223764,vmPFC
OFCant,0.164388731784,0.175372621863,OFCant
OFClat,0.146130438166,0.165228357964,OFClat
OFCmed,0.192039307197,0.202655510858,OFCmed
OFCpost,0.174322466652,0.208481043655,OFCpost
dmPFC,0.130052758117,0.123814977554,dmPFC
dlPFC,0.153436752402,0.15002843501,dlPFC
MFG,0.163072061699,0.1521248648,MFG
IFG,0.169148767271,0.161863700739,IFG
