,Divisive,ROI
rACC,84.1487719171,rACC
dACC,108.84106601,dACC
vlPFC,88.177785406,vlPFC
vmPFC,87.5597387554,vmPFC
OFCant,91.447202349,OFCant
OFClat,81.625492956,OFClat
OFCmed,107.418879634,OFCmed
OFCpost,97.7983441863,OFCpost
dmPFC,74.7130471933,dmPFC
dlPFC,87.0325607569,dlPFC
MFG,91.722623259,MFG
IFG,94.4137764243,IFG
