,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.02460379011257341,61.375475499317595,3179708.4627240575,0.10454505342008828,rACC
dACC,0.04088840658538884,69.11195202696909,2948695.5644108956,0.1157725477100874,dACC
vlPFC,0.02381581573392988,57.1611719619175,3321046.0696756644,0.09661571729510869,vlPFC
vmPFC,0.0235752557693667,63.97042298367649,3200922.2920437227,0.10853587495428486,vmPFC
OFCant,0.02766055787818167,65.37879971338847,3055803.3297454803,0.11105252216607102,OFCant
OFClat,0.022091866502693125,56.772204533043634,2997437.999882706,0.09658123935932282,OFClat
OFCmed,0.0384605772537554,69.83601149530021,2784042.361271024,0.11679668368814551,OFCmed
OFCpost,0.032615062624146485,69.6231495005369,3091325.713480502,0.11813739076558641,OFCpost
dmPFC,0.01708490072503921,53.80599705787591,3736605.0082909293,0.09184104541610146,dmPFC
dlPFC,0.024348763524732142,62.27828126889828,3786321.3034383245,0.10594821705927233,dlPFC
MFG,0.02684199321567171,63.48333833686988,3722152.5722257947,0.10730518016306993,MFG
IFG,0.028120975203853593,60.04198503320566,3424771.9961832785,0.10042483221642773,IFG
