,Subj,Mask,S2S,S2B,B2B,B2S
0,114,rACC,-0.0305063317864,0.18514380238,0.271128651477,0.223413190401
1,114,dACC,0.041627225136,0.0905745473811,0.227029372323,0.121152199085
2,114,vlPFC,0.0750514379176,0.00527540427722,0.124379502456,0.0571087055718
3,114,vmPFC,0.115286376891,0.0990733061503,0.247196119539,0.0965677505654
4,114,OFCant,0.0487101681799,-0.0132493674246,0.143557751959,-0.0107282294226
5,114,OFClat,0.0598941287182,0.00637518868048,0.272191818339,0.0409768264959
6,114,OFCmed,0.0192348815927,0.146321284351,0.0693409770303,0.0643343435265
7,114,OFCpost,0.0681892293433,-0.0215789543724,0.13790533506,0.0651287419491
8,114,dmPFC,0.162338897981,0.163765667092,0.319392416183,0.187896412311
9,114,dlPFC,0.167213268353,0.113510131402,0.348371701802,0.177808363309
10,114,MFG,0.25585124092,0.0703154612199,0.336075120802,0.128205954811
11,114,IFG,0.182454735411,0.0652192999675,0.239024363287,0.12421460713
