,Relative,Absolute
rACC,0.143083765039,0.129443826354
dACC,0.144436777773,0.128677045433
vlPFC,0.14236689626,0.126204374221
vmPFC,0.146594625403,0.132595055893
OFCant,0.137582278875,0.123068262742
OFClat,0.132727346329,0.119054758453
OFCmed,0.143832026324,0.12481684601
OFCpost,0.153437492203,0.137621378973
dmPFC,0.139462690406,0.125297716683
dlPFC,0.14184798547,0.127555531695
MFG,0.14094111755,0.125571208959
IFG,0.14693089698,0.132044732265
V1,0.146582565504,0.122835788391
Fusiform,0.156607910925,0.132002888073
