,Divisive,ROI
rACC,114.158744835,rACC
dACC,120.207154061,dACC
vlPFC,106.06751665,vlPFC
vmPFC,111.779656743,vmPFC
OFCant,109.826145013,OFCant
OFClat,98.7968634699,OFClat
OFCmed,117.962699817,OFCmed
OFCpost,123.162326924,OFCpost
dmPFC,101.276408028,dmPFC
dlPFC,108.520550158,dlPFC
MFG,104.986054187,MFG
IFG,108.360408786,IFG
