,MC,MC by day,RW Update,RW Update by day,ROI
rACC,111.126261349,114.098655521,125.889728196,138.437395484,rACC
dACC,113.738521258,114.957687946,130.813935389,143.564190107,dACC
vlPFC,104.65589113,106.718804805,117.781016384,125.772510982,vlPFC
vmPFC,109.224184661,113.189382602,123.364050926,134.012765374,vmPFC
OFCant,108.122633889,111.010044796,123.755570098,138.824166104,OFCant
OFClat,98.7399335117,102.991855047,109.588437362,119.323560216,OFClat
OFCmed,111.881403939,114.720648004,130.711422657,145.768076965,OFCmed
OFCpost,119.714749991,123.041332021,135.779202319,148.381604663,OFCpost
dmPFC,101.671838464,103.543151669,114.26044752,121.152180932,dmPFC
dlPFC,107.245237743,109.890199773,121.198147592,130.398002022,dlPFC
MFG,103.580812717,106.725119617,115.940760346,124.834283135,MFG
IFG,108.22285659,111.308292039,120.224122312,128.05755254,IFG
