,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.100341788517,137.286809175,2939343.03657,0.205696982223,0.101063981986,138.179234378,2939125.06379,0.206196787736,rACC
dACC,0.108140153459,140.633399603,2859898.32385,0.210401900285,0.110387201311,143.355243116,2859188.83991,0.213619255373,dACC
vlPFC,0.0790797490367,125.36748546,3104885.85717,0.188570963508,0.0792187940365,125.553159908,3104854.26178,0.187918146732,vlPFC
vmPFC,0.0949902384023,134.928509834,2992750.91458,0.20508542402,0.0940418901726,133.747950193,2993061.83326,0.202579322369,vmPFC
OFCant,0.0961704183165,137.119158952,2771457.60972,0.204768806287,0.097081076316,138.23879068,2771181.04325,0.205486058233,OFCant
OFClat,0.0713765524287,120.154074698,2770103.75212,0.180617296769,0.0706172320781,119.13327257,2770348.9342,0.178103636069,OFClat
OFCmed,0.108689305375,143.736466348,2667381.15011,0.213919340068,0.109841418895,145.113460017,2667023.01513,0.215055594296,OFCmed
OFCpost,0.110159780787,147.510052959,2848930.71033,0.21912369559,0.110616476977,148.048078564,2848795.54069,0.218939243222,OFCpost
dmPFC,0.0719671293825,119.304188686,3499132.19936,0.181503290495,0.073174747648,120.93592919,3498771.58571,0.183121294003,dmPFC
dlPFC,0.0836721144851,128.573501916,3560749.22767,0.194642723026,0.084849431889,130.081403318,3560393.32067,0.19601575886,dlPFC
MFG,0.0763562805367,123.977784913,3616047.85399,0.189125892933,0.0769344991715,124.7405897,3615880.42916,0.189405219287,MFG
IFG,0.0792130579568,128.223027681,3422749.37388,0.195212779153,0.0790713193305,128.045623434,3422804.93123,0.194001538366,IFG
