,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.06570762196274327,86.8999516104474,2950116.807273626,0.1312649834758147,rACC
dACC,0.07123531360211477,87.36503613674353,2871464.375674994,0.1317958833690105,dACC
vlPFC,0.05129505903456477,82.9689939995844,3113358.705182019,0.12566791606971814,vlPFC
vmPFC,0.06156488440824448,85.87670189199972,3003094.0858580084,0.1322074691644073,vmPFC
OFCant,0.05946175250965413,83.12886013230413,2782813.6021376606,0.12459796693628046,OFCant
OFClat,0.045995674537128495,80.29163821775703,2777787.8626458016,0.12135339555128677,OFClat
OFCmed,0.06749240451659155,84.36972313570251,2680272.8055088217,0.1260651584641089,OFCmed
OFCpost,0.07101726929454877,93.79425421809552,2861211.844976707,0.14089303515363302,OFCpost
dmPFC,0.0477018719568123,81.15330872180753,3506486.5000290214,0.12466839387479944,dmPFC
dlPFC,0.05441207560531902,84.69484115195861,3569710.3306314447,0.12952940279835873,dlPFC
MFG,0.049545895270020845,82.90035776141342,3624203.170850289,0.1279493804991528,MFG
IFG,0.050964903202902256,86.26847580809554,3431363.051584605,0.13312732345225184,IFG
