,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,0.129443826354,0.143083765039,0.110882417073,0.110708686269,0.171465008188,0.17214956122,rACC
dACC,0.128677045433,0.144436777773,0.109045163132,0.10876948776,0.175135988367,0.17590870153,dACC
vlPFC,0.126204374221,0.14236689626,0.115227001655,0.113927392223,0.168300496574,0.168074925159,vlPFC
vmPFC,0.132595055893,0.146594625403,0.116129919855,0.115511831249,0.174219482823,0.174721388968,vmPFC
OFCant,0.123068262742,0.137582278875,0.107667009769,0.106167370607,0.166225285615,0.166068535726,OFCant
OFClat,0.119054758453,0.132727346329,0.107162505584,0.106128378556,0.157330439699,0.157129053596,OFClat
OFCmed,0.12481684601,0.143832026324,0.109417706215,0.109828455959,0.174436019035,0.17483053098,OFCmed
OFCpost,0.137621378973,0.153437492203,0.12017114994,0.120118871205,0.183185766248,0.183931447148,OFCpost
dmPFC,0.125297716683,0.139462690406,0.113651249982,0.1132909764,0.1631639134,0.163570465161,dmPFC
dlPFC,0.127555531695,0.14184798547,0.114037363071,0.11345937837,0.16703254416,0.167388904607,dlPFC
MFG,0.125571208959,0.14094111755,0.114574441596,0.113641415206,0.165161297437,0.165287438371,MFG
IFG,0.132044732265,0.14693089698,0.120329473057,0.119003648612,0.172066682698,0.172138302113,IFG
