,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.0970162913157,133.145656063,2940420.73863,rACC
dACC,0.105627247458,137.554541821,2860725.65869,dACC
vlPFC,0.076267656092,121.659973646,3105780.43971,vlPFC
vmPFC,0.090105400958,128.746393986,2994312.64753,vmPFC
OFCant,0.0937244575356,134.095643374,2772253.19622,OFCant
OFClat,0.0682626932792,115.91220397,2771083.7031,OFClat
OFCmed,0.105650775131,140.07515828,2668377.01333,OFCmed
OFCpost,0.106207496263,142.833000006,2850220.5363,OFCpost
dmPFC,0.0703702373722,117.133095088,3499646.72994,dmPFC
dlPFC,0.081661605611,125.981435899,3561398.79362,dlPFC
MFG,0.0740505992707,120.923973167,3616783.59282,MFG
IFG,0.07587634887,123.902727408,3423806.38858,IFG
