,Subtract Mean_adjr2,Subtract Mean_tval,Subtract Mean_bic,Subtract Mean_corr,Subtract Median_adjr2,Subtract Median_tval,Subtract Median_bic,Subtract Median_corr,Z-score_adjr2,Z-score_tval,Z-score_bic,Z-score_corr,ROI
rACC,0.06260377485978308,81.11848183076009,2951064.78324562,0.10424208107355189,0.0645053984275955,84.70291408052891,2950484.36314286,0.10901883638329082,0.07237660248308553,98.2890818984888,2948069.2715753834,0.13829944089830765,rACC
dACC,0.06880451051320335,82.86505578781158,2872211.471981103,0.10582652531037917,0.07061780772041404,86.24193822789857,2871654.348413059,0.1102262522128539,0.08001807761949509,102.14766374347737,2868748.641243202,0.14360001934311864,dACC
vlPFC,0.0497098577304006,79.97241894720038,3113835.894693465,0.10575316580416345,0.051245303692090016,82.87643669228056,3113373.6950352807,0.1095375557816692,0.05741625063288347,93.72667265706202,3111508.542690606,0.13314565317113286,vlPFC
vmPFC,0.05911635057702258,81.3130035485694,3003838.8797602872,0.10788469331652119,0.0608635976145131,84.5923688156264,3003307.6013541906,0.1122316795240117,0.06817548571972565,97.23583108201633,3001073.528970243,0.13977716792965456,vmPFC
OFCant,0.057542716035009156,79.46287304738419,2783396.1938444437,0.101823638357522,0.05909195177998905,82.4339548456984,2782925.9606941165,0.10565635022080598,0.06639503639620314,95.31174081728912,2780698.806538613,0.13339322775292045,OFCant
OFClat,0.04377923150309859,75.95588386152457,2778451.1510891444,0.10026237811699305,0.04527650080434209,78.90873582909474,2778003.2499202425,0.10418581895201111,0.050277135784622784,88.11537716170132,2776502.2259947876,0.12473921830893549,OFClat
OFCmed,0.06638725937513423,82.28906653497324,2680611.3454634785,0.10435614537684229,0.06784423716204846,85.02244835466927,2680164.944144321,0.10774150302186515,0.07705253734544648,100.7600203829902,2677327.383430326,0.14063508600760283,OFCmed
OFCpost,0.06865216199614088,89.71731894986948,2861938.6052301237,0.11620187228123213,0.07061077009994166,93.1047874850779,2861336.8873650064,0.12055283716081173,0.07943110134135856,107.19193602083301,2858611.3226705594,0.15044849835153667,OFCpost
dmPFC,0.04586291537456777,77.60342091975808,3507037.9165415266,0.10455101610892857,0.047403169277984714,80.58641799690275,3506576.139295988,0.10852679348064755,0.052676349297854586,90.1182980352632,3504989.5354732843,0.12984176226609573,dmPFC
dlPFC,0.05257208307028827,81.26620593014151,3570265.968910287,0.1084111145514904,0.05418679886967759,84.28184905717221,3569778.417429534,0.11236411614665605,0.06070878007257008,95.58947563434346,3567800.6461247876,0.13699932620348607,dlPFC
MFG,0.04772626782160083,79.45555700171734,3624749.85457868,0.10775120067939706,0.04930950252422117,82.46023429758213,3624274.2511424855,0.11174511386271764,0.05522210996731636,92.9029725376427,3622491.075527545,0.13461324289234775,MFG
IFG,0.049128791908625846,82.92145074101862,3431915.5069059236,0.11312726193840109,0.05084735052159217,86.05770941506537,3431398.453240995,0.11729708711535838,0.05689029304517723,96.35748157581455,3429572.8819478415,0.13978705825164836,IFG
