,Divisive,RW Update,MC,ROI
rACC,0.204038192205,0.254960593524,0.160436271712,rACC
dACC,0.217973907674,0.264111090978,0.163888790297,dACC
vlPFC,0.1711411544,0.206604090952,0.152034887746,vlPFC
vmPFC,0.196672928957,0.241521356578,0.160581460262,vmPFC
OFCant,0.193638644453,0.243337958789,0.155420122451,OFCant
OFClat,0.156973578198,0.20058288314,0.143113283559,OFClat
OFCmed,0.213801559517,0.2635896489,0.160157030286,OFCmed
OFCpost,0.208121955353,0.260058914957,0.171878287879,OFCpost
dmPFC,0.162885352776,0.197690913765,0.149721904152,dmPFC
dlPFC,0.178010845879,0.21841446757,0.157081351773,dlPFC
MFG,0.166597213117,0.201780402239,0.153115517426,MFG
IFG,0.165409383909,0.203569233332,0.160028394313,IFG
