,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0807336543534,111.126261349,2945505.70235,0.0827929924078,114.098655521,2944864.67966,0.0913934357112,125.889728196,2942183.48166,0.101274466198,138.437395484,2939058.13056,rACC
dACC,0.0877172223137,113.738521258,2866369.68988,0.0885678296326,114.957687946,2866103.06395,0.100289630306,130.813935389,2862414.8294,0.110561247639,143.564190107,2859132.91484,dACC
vlPFC,0.0642960418148,104.65589113,3109437.82025,0.0656688526622,106.718804805,3109018.16638,0.0734081444615,117.781016384,3106652.31159,0.0793870792535,125.772510982,3104802.01862,vlPFC
vmPFC,0.0759150281014,109.224184661,2998712.73773,0.0786440181401,113.189382602,2997867.39597,0.0860072095586,123.364050926,2995585.55795,0.0942533556635,134.012765374,2992995.10923,vmPFC
OFCant,0.0745668900537,108.122633889,2778209.09008,0.0765308644493,111.010044796,2777601.86144,0.0857036515465,123.755570098,2774760.14031,0.0975610646406,138.824166104,2771029.05934,OFCant
OFClat,0.0566495467439,98.7399335117,2774601.07256,0.0593792435535,102.991855047,2773772.80498,0.0638047943713,109.588437362,2772436.40917,0.0707577752036,119.323560216,2770305.7079,OFClat
OFCmed,0.084362167376,111.881403939,2675077.7992,0.0863325336019,114.720648004,2674462.06804,0.0981674741499,130.711422657,2670747.0877,0.110393414671,145.768076965,2666845.71736,OFCmed
OFCpost,0.0881396692103,119.714749991,2855917.67806,0.0905864164092,123.041332021,2855149.70797,0.100437389138,135.779202319,2852048.25929,0.110902117377,148.381604663,2848703.72847,OFCpost
dmPFC,0.0597576686347,101.671838464,3502868.07167,0.0609752846334,103.543151669,3502497.68776,0.068305959812,114.26044752,3500269.14828,0.0733362167989,121.152180932,3498721.78566,dmPFC
dlPFC,0.0681711631332,107.245237743,3565543.91122,0.0699676408491,109.890199773,3564992.33583,0.0780516943083,121.198147592,3562508.58212,0.0850986532736,130.398002022,3560315.47184,dlPFC
MFG,0.0618996529807,103.580812717,3620486.86223,0.0639868428787,106.725119617,3619850.21851,0.0704017308324,115.940760346,3617896.16054,0.0770061125405,124.834283135,3615858.25339,MFG
IFG,0.0645781273548,108.22285659,3427256.53459,0.066702832201,111.308292039,3426606.57704,0.0731157619601,120.224122312,3424647.38299,0.0790806288547,128.05755254,3422802.04186,IFG
