,MC_adjr2,MC_tval,MC_bic,MC_corr,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.09075858588609953,125.04614506961254,2942371.5567571353,0.18299328359489114,0.10034178851685704,137.28680917509868,2939343.036567647,0.20569698222252653,0.0913934357111571,125.88972819636146,2942183.481655476,0.1876839602943475,0.10127446619814762,138.43739548410917,2939058.1305575753,0.20736106727531398,rACC
dACC,0.09955438186987109,129.86096731270118,2862636.748723579,0.1897726591447474,0.10814015345888561,140.6333996033091,2859898.323846461,0.21040190028454628,0.10028963030589966,130.81393538928288,2862414.8294037916,0.19485509439768517,0.1105612476391522,143.56419010679355,2859132.914839914,0.21473418333338246,dACC
vlPFC,0.07173715882438858,115.46358116196944,3107155.7317824145,0.16969441793882473,0.07907974903670956,125.36748545985645,3104885.8571699476,0.1885709635083421,0.07340814446150834,117.78101638365182,3106652.3115884205,0.1760137288731584,0.07938707925347088,125.77251098184072,3104802.0186195266,0.1889635690351024,vlPFC
vmPFC,0.08577317704761733,123.04703702081854,2995647.17241709,0.1830317306186388,0.0949902384023138,134.9285098342448,2992750.9145848993,0.2050854240195312,0.08600720955858066,123.36405092625195,2995585.557946626,0.18679242879533353,0.09425335566350834,134.0127653735993,2992995.1092279376,0.2037132466814523,vmPFC
OFCant,0.08412174756394464,121.63169213672879,2775242.6806836743,0.1773136304960633,0.09617041831650974,137.11915895216265,2771457.6097171423,0.2047688062871313,0.08570365154652815,123.7555700983277,2774760.140313795,0.18372166190014155,0.09756106464059744,138.82416610435482,2771029.0593429348,0.2071317269081511,OFCant
OFClat,0.06200681246221307,106.94715582134666,2772973.252337297,0.1567707015959232,0.07137655242870367,120.15407469754041,2770103.7521206024,0.18061729676856214,0.0638047943713046,109.58843736187771,2772436.409171979,0.16340914161317843,0.07075777520364723,119.32356021606915,2770305.7079036394,0.17907790584326297,OFClat
OFCmed,0.09662711470650254,128.71646266112455,2671223.306579131,0.18708991699376437,0.10868930537508847,143.73646634758674,2667381.1501104305,0.21391934006759608,0.09816747414989879,130.71142265666305,2670747.0876969523,0.1936126540879906,0.11039341467058217,145.7680769654003,2666845.7173609193,0.2168282569997958,OFCmed
OFCpost,0.09937139845293941,134.44258583900782,2852375.201136219,0.1953258977046073,0.11015978078661248,147.51005295932154,2848930.7103266143,0.2191236955903483,0.10043738913752809,135.77920231925822,2852048.2592895916,0.20075475081235655,0.11090211737657096,148.38160466252745,2848703.7284653056,0.22025405085532684,OFCpost
dmPFC,0.06706374750943012,112.50089089714585,3500638.4171110303,0.16745415174455883,0.07196712938247662,119.30418868604045,3499132.1993562286,0.18150329049455483,0.06830595981200527,114.26044751983105,3500269.1482819077,0.1728113961877321,0.07333621679892333,121.15218093152984,3498721.7856624057,0.18412593954402282,dmPFC
dlPFC,0.07692629295319875,119.67273536999342,3562845.706321365,0.17724489746670033,0.08367211448510259,128.5735019158007,3560749.2276714235,0.19464272302596394,0.07805169430833803,121.19814759248267,3562508.582119088,0.18247865514817185,0.08509865327358435,130.3980020224853,3560315.4718386712,0.19721396357436694,dlPFC
MFG,0.06906976384439734,114.07467947841289,3618293.8462274796,0.17033488078828848,0.07635628053666832,123.97778491297191,3616047.8539942796,0.1891258929331865,0.0704017308323952,115.9407603457904,3617896.1605359307,0.17590788517829795,0.07700611254054757,124.83428313468721,3615858.253388549,0.1902346150338646,MFG
IFG,0.0721195440637229,118.87136508744814,3424942.8604519344,0.17732841633833218,0.07921305795684763,128.2230276809484,3422749.373877417,0.19521277915257862,0.07311576196009484,120.2241223118561,3424647.3829872734,0.1820666394082567,0.07908062885465028,128.05755253988067,3422802.0418550074,0.19472065447050504,IFG
