,Divide Mean,Running Average,ROI
rACC,0.1733832102,0.143186515922,rACC
dACC,0.182549846979,0.142990803458,dACC
vlPFC,0.161148437601,0.137574056643,vlPFC
vmPFC,0.172456380579,0.143524036043,vmPFC
OFCant,0.16589551879,0.137838660908,OFCant
OFClat,0.149612883087,0.131699073186,OFClat
OFCmed,0.178046540593,0.138855447076,OFCmed
OFCpost,0.185548812283,0.15306811497,OFCpost
dmPFC,0.155702966602,0.136517305793,dmPFC
dlPFC,0.166254318321,0.141335276302,dlPFC
MFG,0.162030792483,0.138403230516,MFG
IFG,0.166922818657,0.14494400374,IFG
