,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.08283508764780878,114.15874483458533,2944851.5614082045,0.17338321019956726,rACC
dACC,0.09231497280672019,120.2071540611674,2864925.538151173,0.18254984697867732,dACC
vlPFC,0.06523298118333554,106.0675166499278,3109151.4744886165,0.16114843760108538,vlPFC
vmPFC,0.07766450506578582,111.77965674336205,2998171.1011795695,0.1724563805793897,vmPFC
OFCant,0.07572034465099609,109.82614501335395,2777852.617214193,0.16589551879021688,OFCant
OFClat,0.05668543775431145,98.79686346992061,2774590.1977651645,0.14961288308654178,OFClat
OFCmed,0.08863204554686788,117.96269981731164,2673741.7988922,0.1780465405929337,OFCmed
OFCpost,0.09067642261448605,123.1623269243219,2855121.4179882947,0.18554881228325565,OFCpost
dmPFC,0.059502815103224416,101.276408027832,3502945.5342954625,0.15570296660161134,dmPFC
dlPFC,0.06903276611247577,108.52055015817426,3565279.504725054,0.16625431832125526,dlPFC
MFG,0.06282588569836955,104.98605418678659,3620204.513708538,0.16203079248255645,MFG
IFG,0.06467178053064515,108.36040878589208,3427227.9167400207,0.16692281865748337,IFG
