,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,ROI
rACC,0.0828350876478,114.158744835,2944851.56141,rACC
dACC,0.0923149728067,120.207154061,2864925.53815,dACC
vlPFC,0.0652329811833,106.06751665,3109151.47449,vlPFC
vmPFC,0.0776645050658,111.779656743,2998171.10118,vmPFC
OFCant,0.075720344651,109.826145013,2777852.61721,OFCant
OFClat,0.0566854377543,98.7968634699,2774590.19777,OFClat
OFCmed,0.0886320455469,117.962699817,2673741.79889,OFCmed
OFCpost,0.0906764226145,123.162326924,2855121.41799,OFCpost
dmPFC,0.0595028151032,101.276408028,3502945.5343,dmPFC
dlPFC,0.0690327661125,108.520550158,3565279.50473,dlPFC
MFG,0.0628258856984,104.986054187,3620204.51371,MFG
IFG,0.0646717805306,108.360408786,3427227.91674,IFG
