,Divisive,RW Update,ROI
rACC,0.204038192205,0.254960593524,rACC
dACC,0.217973907674,0.264111090978,dACC
vlPFC,0.1711411544,0.206604090952,vlPFC
vmPFC,0.196672928957,0.241521356578,vmPFC
OFCant,0.193638644453,0.243337958789,OFCant
OFClat,0.156973578198,0.20058288314,OFClat
OFCmed,0.213801559517,0.2635896489,OFCmed
OFCpost,0.208121955353,0.260058914957,OFCpost
dmPFC,0.162885352776,0.197690913765,dmPFC
dlPFC,0.178010845879,0.21841446757,dlPFC
MFG,0.166597213117,0.201780402239,MFG
IFG,0.165409383909,0.203569233332,IFG
