,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,0.0369643937762,0.0355829832532,0.0246282736282,0.0170401961858,0.0719019582311,0.07305092869,rACC
dACC,0.0357098329262,0.035044728403,0.0224244510085,0.0137344313115,0.0768829879723,0.0782095867505,dACC
vlPFC,0.0342781657312,0.040525912162,0.0293503099584,0.0220680366484,0.0759913236806,0.0771190893273,vlPFC
vmPFC,0.0204315769331,0.0228152719055,0.0137277627674,0.00753090413952,0.051044071622,0.0527641820654,vmPFC
OFCant,0.00526032978917,0.0105966022373,0.00129057794344,-0.00343616829427,0.0363717103433,0.038120870442,OFCant
OFClat,0.010233889893,0.0180623564374,0.0080633923614,0.00287135907636,0.0467287392417,0.0480015003076,OFClat
OFCmed,0.0115811607148,0.0177344513763,0.00702460731231,0.00159542084367,0.046760404397,0.0486071947953,OFCmed
OFCpost,0.0306900060646,0.0376489568943,0.0245430591102,0.0186927644833,0.0729128916753,0.0743691643085,OFCpost
dmPFC,0.0326768722886,0.0364581350209,0.0278689320681,0.0220665877682,0.0624116702448,0.0633734921011,dmPFC
dlPFC,0.0329478521198,0.0351782400705,0.0268471629752,0.0197399368435,0.0642036759563,0.0655809212329,dlPFC
MFG,0.0281606079244,0.031591956638,0.0222854301434,0.0149340163,0.0636099186594,0.0648567093758,MFG
IFG,0.0327945917356,0.0373336095441,0.0270807051059,0.019655813084,0.0718167134773,0.072991683642,IFG
