,value,choice,choice_prob
rACC,0.0355829832532,0.0440576126035,0.0121438723574
dACC,0.035044728403,0.0444212847467,0.00549423786066
vlPFC,0.040525912162,0.0293981179906,0.0141967094716
vmPFC,0.0228152719055,0.0239568950744,0.000418113549349
OFCant,0.0105966022373,0.00752779083992,-0.016376793062
OFClat,0.0180623564374,0.00771612318473,-0.0112636980434
OFCmed,0.0177344513763,0.0159036671106,-0.0097285830234
OFCpost,0.0376489568943,0.0226991856074,0.00873119072595
dmPFC,0.0364581350209,0.0298979316817,0.0211238932405
dlPFC,0.0351782400705,0.0265242033968,0.013534595169
MFG,0.031591956638,0.0276664423255,0.00819685957349
IFG,0.0373336095441,0.0413015735739,0.0130902571465
