,Divisive,RW Update,ROI
rACC,0.169077487006,0.111514849196,rACC
dACC,0.199127582551,0.147421147766,dACC
vlPFC,0.163958370194,0.11610037613,vlPFC
vmPFC,0.147227003869,0.10323291412,vmPFC
OFCant,0.122241001561,0.0964681378539,OFCant
OFClat,0.130137658605,0.106019042622,OFClat
OFCmed,0.144569860104,0.10206587529,OFCmed
OFCpost,0.164817031461,0.117855037629,OFCpost
dmPFC,0.133515234298,0.0791726570025,dmPFC
dlPFC,0.145719728873,0.10456360415,dlPFC
MFG,0.153054298424,0.104610220554,MFG
IFG,0.159848733412,0.106223929847,IFG
