,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0300729680911,-18.0544003236,3216673.5809,0.031323880675,26.4173272989,3216302.32123,0.0340509344797,-38.8974380907,3215502.86098,0.0350193561944,42.4644549021,3215214.2999,rACC
dACC,0.0437876735619,-29.9518344161,3027910.97324,0.0445162926004,33.424056614,3027691.68196,0.0490686655655,-50.0070469465,3026329.33336,0.0513076185778,56.4405114613,3025651.19664,dACC
vlPFC,0.0283207275679,-26.2997418844,3349396.7966,0.0285175646308,27.3880244199,3349338.51418,0.0312735736657,-39.6443377808,3348532.80142,0.0316193044682,40.9260335735,3348430.11238,vlPFC
vmPFC,0.0222641194272,-16.5648431378,3496110.57355,0.0231040530141,22.8467166306,3495863.33301,0.0334644737084,-60.1016310758,3492807.63307,0.0244577884751,30.3792591548,3495475.973,vmPFC
OFCant,0.0161792517159,-20.6819444917,3579163.78772,0.0161045980269,20.1465344224,3579185.61646,0.0327896779679,-73.3246604476,3574276.81627,0.0164754339805,22.7047343946,3579088.73731,OFCant
OFClat,0.0177140697437,-20.4078665248,3350179.27207,0.0178128862239,21.1060536229,3350150.33044,0.0295229510256,-62.6340674045,3346711.44306,0.0190020880953,28.2088378638,3349813.37491,OFClat
OFCmed,0.022093846052,-21.4428601804,3326330.51334,0.0220836384095,21.3726146522,3326333.5162,0.0378992273066,-72.0714207038,3321654.47833,0.0230605224134,27.3112922532,3326057.56584,OFCmed
OFCpost,0.0285962354552,-27.0511729212,3290819.44407,0.0284430819054,26.1973722009,3290864.79672,0.0325473872048,-43.7109629113,3289658.49883,0.0314433729187,39.7562897932,3289986.5994,OFCpost
dmPFC,0.0176139007765,-12.6950068539,3892642.63958,0.0182406345709,18.5717940984,3892459.04953,0.0209035156346,-33.6043559637,3891689.26835,0.0194218511647,26.3223537581,3892124.28477,dmPFC
dlPFC,0.0220998631502,-21.1907006692,3952874.46502,0.0228891360492,26.1109443138,3952642.18189,0.0279418575945,-46.7082077677,3951162.27465,0.024515406175,34.1103621768,3952174.54775,dlPFC
MFG,0.0246227496292,-22.577996543,3844264.80409,0.0250569236484,25.2607209685,3844136.71931,0.0304931715176,-47.494734306,3842539.70657,0.0277666903098,37.9826653702,3843347.59493,MFG
IFG,0.0274021666172,-21.1816273991,3550697.54615,0.028448162602,27.5474531676,3550387.98958,0.0304005121201,-36.6148406494,3549820.8798,0.0328081194467,45.3881725333,3549105.65477,IFG
