,Divide Mean,Running Average,ROI
rACC,0.0801336903898,0.034470260747,rACC
dACC,0.0908345994949,0.0452785352569,dACC
vlPFC,0.0803617243585,0.0296474167858,vlPFC
vmPFC,0.0621562737884,0.026597886365,vmPFC
OFCant,0.0367643887151,0.0153015856648,OFCant
OFClat,0.0457278632769,0.0145805993831,OFClat
OFCmed,0.0462881956912,0.0193255388287,OFCmed
OFCpost,0.0720159128621,0.0270114505326,OFCpost
dmPFC,0.0696457722073,0.0220023654315,dmPFC
dlPFC,0.0751048848679,0.0333746245669,dlPFC
MFG,0.0715034008596,0.0283277783134,MFG
IFG,0.0751979386896,0.0321242488296,IFG
