,Relative,Absolute
rACC,0.0355829832532,0.0369643937762
dACC,0.035044728403,0.0357098329262
vlPFC,0.040525912162,0.0342781657312
vmPFC,0.0228152719055,0.0204315769331
OFCant,0.0105966022373,0.00526032978917
OFClat,0.0180623564374,0.010233889893
OFCmed,0.0177344513763,0.0115811607148
OFCpost,0.0376489568943,0.0306900060646
dmPFC,0.0364581350209,0.0326768722886
dlPFC,0.0351782400705,0.0329478521198
MFG,0.031591956638,0.0281606079244
IFG,0.0373336095441,0.0327945917356
V1,0.0338414822324,0.0294175905558
Fusiform,0.044329707547,0.0441071191135
