,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.029225233917030358,8.512490702890812,3216901.7695561694,0.03275536316806865,rACC
dACC,0.04116019248274594,10.214979496724613,3028677.237370842,0.038702600953252564,dACC
vlPFC,0.026178180232791393,7.431559628137217,3350007.291892541,0.028790502269733734,vlPFC
vmPFC,0.021564462614438895,8.15398947618323,3496293.221335686,0.028478209026894456,vmPFC
OFCant,0.014731142770116556,1.5168569999169252,3579563.7801977345,0.012576697676315291,OFCant
OFClat,0.016304051190463964,1.2385267551019405,3350568.7859492516,0.0124846647908598,OFClat
OFCmed,0.02054842172039173,1.7786825057487965,3326761.6475568903,0.015857194107884328,OFCmed
OFCpost,0.026274843514233148,6.4957438012358715,3291482.9620595044,0.02627474715195407,OFCpost
dmPFC,0.01729274210236076,8.068144912536631,3892713.532514143,0.02753637439544177,dmPFC
dlPFC,0.021080348177832553,12.123215319278543,3953151.091932682,0.03559092864671258,dlPFC
MFG,0.023078454289410022,7.225623402759477,3844696.78273759,0.02749512965527334,MFG
IFG,0.026054781551654194,6.932680935952417,3551072.6676812833,0.02889193148903274,IFG
