,Divisive,ROI
rACC,36.030518013,rACC
dACC,40.8771279272,dACC
vlPFC,37.2992676633,vlPFC
vmPFC,27.9932816085,vmPFC
OFCant,15.9929269353,OFCant
OFClat,20.7742212348,OFClat
OFCmed,19.8340093495,OFCmed
OFCpost,33.245950601,OFCpost
dmPFC,32.2711378962,dmPFC
dlPFC,35.1467763631,dlPFC
MFG,32.7815807963,MFG
IFG,33.7401499506,IFG
