,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,ROI
rACC,0.0333362423845,36.030518013,3215704.06308,rACC
dACC,0.0463449692018,40.8771279272,3027140.57079,dACC
vlPFC,0.0306722541164,37.2992676633,3348699.74864,vlPFC
vmPFC,0.0239901632793,27.9932816085,3495602.2695,vmPFC
OFCant,0.0155916563637,15.9929269353,3579335.55577,OFCant
OFClat,0.0177655090264,20.7742212348,3350164.20676,OFClat
OFCmed,0.0218684096166,19.8340093495,3326396.82448,OFCmed
OFCpost,0.0298527124709,33.245950601,3290447.09912,OFCpost
dmPFC,0.0206090828844,32.2711378962,3891764.19656,dmPFC
dlPFC,0.0247611531262,35.1467763631,3952090.49585,dlPFC
MFG,0.0265308301725,32.7815807963,3843701.47927,MFG
IFG,0.0297248985733,33.7401499506,3550009.69484,IFG
