,MC,MC by day,RW Update,RW Update by day,ROI
rACC,21.0706774978,26.4173272989,42.6221194154,42.0558811563,rACC
dACC,26.20589655,33.424056614,56.4903808668,55.8978431857,dACC
vlPFC,19.9925617765,27.3880244199,40.9748949822,41.0622858839,vlPFC
vmPFC,15.3379967326,22.8467166306,30.4661112517,30.5691425305,vmPFC
OFCant,8.97698491142,20.1465344224,22.8293390551,23.7392896788,OFCant
OFClat,10.5559173098,21.1060536229,28.2331108273,29.0243717415,OFClat
OFCmed,10.6103648459,21.3726146522,27.6242344408,27.8924325011,OFCmed
OFCpost,17.705867851,26.1973722009,39.9747240713,39.933702856,OFCpost
dmPFC,15.1473142255,18.5717940984,26.1388738213,25.8988280084,dmPFC
dlPFC,20.9175630902,26.1109443138,33.8758033774,33.8501664858,dlPFC
MFG,18.3730023407,25.2607209685,37.8123773975,37.570467926,MFG
IFG,19.1454076117,27.5474531676,45.3881220113,44.8622818688,IFG
