,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0328736794953,34.058573372,3215841.68928,0.0792578463675,0.0326978321609,33.2938812434,3215905.5614,0.0783870390184,rACC
dACC,0.0478657702984,46.185482755,3026681.43907,0.103805092525,0.047485517243,44.9267362039,3026807.87623,0.102166428168,dACC
vlPFC,0.0300768741133,34.8395499045,3348876.39306,0.079376646541,0.0296216464249,32.8522960425,3349022.95187,0.0762979389683,vlPFC
vmPFC,0.0235711014034,25.6870336567,3495725.76195,0.0612285418596,0.023286729465,24.0182529443,3495821.10231,0.0586759841889,vmPFC
OFCant,0.0168650082989,25.0738973912,3578963.19504,0.0570806550586,0.0164297204897,22.4078268914,3579102.10816,0.05264905024,OFCant
OFClat,0.0187972053601,27.1016797964,3349861.88141,0.0612973677367,0.0183935939765,24.83780602,3349991.76196,0.0576334166153,OFClat
OFCmed,0.0234660604578,29.4054416286,3325926.55242,0.0674025846497,0.023090645463,27.4736265874,3326048.69535,0.0643865927051,OFCmed
OFCpost,0.0299018201484,33.4650814889,3290432.53674,0.0764984456093,0.0294130445385,31.2326995999,3290589.01491,0.0730053630328,OFCpost
dmPFC,0.0183643045809,19.5242752655,3892422.80885,0.0488240558243,0.0182641606342,18.7833650861,3892463.7253,0.0478852125783,dmPFC
dlPFC,0.0230503721626,27.0068865023,3952594.707,0.0634489998445,0.0227073479109,25.0827787924,3952707.26837,0.06041671349,dlPFC
MFG,0.0260462221749,30.5116294628,3843844.65518,0.0706203648267,0.0256889801663,28.7426828145,3843961.72519,0.0678984675856,MFG
IFG,0.0303928862091,36.5700533627,3549811.57282,0.0829553553333,0.0299248919791,34.62577759,3549961.96161,0.0799109111663,IFG
