Day,fMRI Run,Trial Categ,Stimulus Value,Item 1 Value,Item 2 Value
1,1,0,5,5,-1
1,1,1,2,3,3
1,1,1,1,1,3
1,1,0,5,5,-1
1,1,1,4,5,5
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,1,4,5,1
1,1,0,0,0,-1
1,1,1,0,0,0
1,1,1,4,5,0
1,1,1,2,3,1
1,1,1,1,0,0
1,1,1,3,1,2
1,1,1,1,3,0
1,1,1,5,3,5
1,1,1,2,0,5
1,1,0,1,1,-1
1,1,1,3,1,3
1,1,1,2,3,0
1,1,0,5,5,-1
1,1,1,0,1,0
1,1,1,0,0,0
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,1,0,0,0
1,1,1,6,5,5
1,1,1,0,0,0
1,1,1,4,5,1
1,1,1,5,5,1
1,1,0,1,1,-1
1,1,1,2,0,3
1,1,0,3,3,-1
1,1,0,0,0,-1
1,1,0,2,2,-1
1,1,1,0,0,0
1,1,1,0,3,0
1,1,1,0,0,0
1,1,0,3,3,-1
1,1,0,1,1,-1
1,1,1,1,1,0
1,1,1,4,0,5
1,1,1,4,5,0
1,1,0,0,0,-1
1,1,1,0,0,0
1,1,0,5,5,-1
1,1,0,0,0,-1
1,1,1,5,1,5
1,1,1,0,0,0
1,1,1,5,0,5
1,1,1,0,0,0
1,1,1,5,0,5
1,1,1,4,5,0
1,1,1,0,0,2
1,1,1,4,5,5
1,1,1,0,0,0
1,1,1,1,0,3
1,1,1,1,1,0
1,1,1,5,0,5
1,1,0,5,5,-1
1,1,0,0,0,-1
1,1,1,2,5,0
1,2,0,5,5,-1
1,2,1,2,1,2
1,2,1,4,1,5
1,2,0,0,0,-1
1,2,0,1,1,-1
1,2,1,4,5,0
1,2,0,1,1,-1
1,2,1,6,5,5
1,2,1,4,0,5
1,2,1,4,0,5
1,2,1,4,5,0
1,2,1,2,0,5
1,2,1,0,1,0
1,2,1,2,1,1
1,2,0,0,0,-1
1,2,1,2,0,0
1,2,1,0,0,0
1,2,1,0,1,0
1,2,0,1,1,-1
1,2,0,0,0,-1
1,2,1,3,3,0
1,2,0,0,0,-1
1,2,1,2,2,0
1,2,0,2,2,-1
1,2,1,2,0,1
1,2,1,0,0,0
1,2,0,3,3,-1
1,2,1,4,5,0
1,2,1,1,1,0
1,2,1,4,5,3
1,2,0,3,3,-1
1,2,0,0,0,-1
1,2,0,5,5,-1
1,2,1,0,3,0
1,2,1,4,5,0
1,2,0,0,0,-1
1,2,1,0,0,0
1,2,1,4,0,5
1,2,0,5,5,-1
1,2,1,2,0,0
1,2,1,9,5,5
1,2,1,0,0,2
1,2,1,2,3,0
1,2,1,4,2,5
1,2,0,0,0,-1
1,2,1,0,1,0
1,2,0,5,5,-1
1,2,0,0,0,-1
1,2,1,0,3,2
1,2,1,4,5,3
1,2,1,4,0,5
1,2,1,0,1,0
1,2,1,2,5,0
1,2,0,0,0,-1
1,2,0,5,5,-1
1,2,1,0,0,0
1,2,1,0,0,0
1,2,1,4,5,0
1,2,1,4,5,1
1,2,1,2,1,3
1,2,1,0,0,0
1,2,1,0,0,1
1,3,0,0,0,-1
1,3,0,0,0,-1
1,3,1,3,0,3
1,3,1,0,1,0
1,3,1,2,3,0
1,3,1,0,0,0
1,3,1,4,5,0
1,3,0,2,2,-1
1,3,1,0,0,3
1,3,1,3,3,0
1,3,1,4,5,0
1,3,0,5,5,-1
1,3,1,4,5,3
1,3,0,0,0,-1
1,3,1,1,0,1
1,3,0,0,0,-1
1,3,1,4,5,0
1,3,1,3,5,2
1,3,0,5,5,-1
1,3,1,0,0,0
1,3,1,2,5,0
1,3,1,3,5,2
1,3,1,4,1,5
1,3,1,3,3,5
1,3,1,1,2,0
1,3,0,3,3,-1
1,3,1,0,0,1
1,3,1,2,1,0
1,3,0,0,0,-1
1,3,1,2,1,1
1,3,1,4,0,5
1,3,1,4,5,0
1,3,0,0,0,-1
1,3,0,5,5,-1
1,3,1,0,0,0
1,3,1,4,2,2
1,3,1,4,5,3
1,3,1,0,3,0
1,3,1,3,0,5
1,3,0,3,3,-1
1,3,1,2,5,0
1,3,1,5,0,5
