,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.03198013832369384,31.55907212701567,3737620.408087611,0.039705441180586894,rACC
dACC,0.03160061143612658,28.842540327247132,3721960.5441355323,0.035249806420988614,dACC
vlPFC,0.03230656803533605,33.78085716869432,3901864.289890271,0.043349005691750146,vlPFC
vmPFC,0.03066820076475507,34.567185665263096,3856416.682924617,0.045360433373889036,vmPFC
OFCant,0.03374051207170037,36.18446872093367,3656350.2735524834,0.047351091789098604,OFCant
OFClat,0.029461766033209602,28.31881791457676,3408272.6302418527,0.03440725646772074,OFClat
OFCmed,0.033747426856103324,36.38281813936216,3734312.8080960154,0.04791368603230208,OFCmed
OFCpost,0.03159887815364204,31.994533303472632,3819927.4224066655,0.040312763814572994,OFCpost
dmPFC,0.030802565653159975,39.91322833676063,4159031.212960293,0.055205525467656676,dmPFC
dlPFC,0.030863321402791244,38.135527517081044,4277964.838517713,0.051652503181647325,dlPFC
MFG,0.030567501509806028,39.827222682892845,4251663.114635063,0.054901310084175405,MFG
IFG,0.03092922714273416,36.80023686038317,3954141.08810817,0.04921185177531003,IFG
