,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,ROI
rACC,0.039705441180608904,0.08993364892263139,0.0427712012384827,0.04526828601954622,0.09411527675916737,rACC
dACC,0.03524980642100793,0.0864451282925254,0.038145492415194375,0.04080361520251407,0.0907532054478963,dACC
vlPFC,0.04334900569177459,0.09794561892563758,0.04840569642678566,0.05163756098001192,0.10227228156840477,vlPFC
vmPFC,0.045360433373914544,0.09525704637550335,0.04871781989061512,0.051059699009702204,0.09939039343426759,vmPFC
OFCant,0.047351091789125346,0.0991890461765152,0.051111473047445594,0.053735411813815026,0.10342309413851287,OFCant
OFClat,0.03440725646773999,0.07772451253980056,0.035997567549558955,0.03762724407048323,0.0814803112469911,OFClat
OFCmed,0.04791368603232837,0.10061437189725692,0.05184807105001284,0.05450490091304054,0.10494544612841919,OFCmed
OFCpost,0.0403127638145955,0.09179592283123919,0.04404106146829379,0.046729142771787205,0.09605027631897807,OFCpost
dmPFC,0.05520552546768735,0.10505653058911538,0.059463186075279874,0.062095178336330756,0.1090120496167887,dmPFC
dlPFC,0.05165250318167647,0.10386084420392296,0.0566151849514685,0.05955824574048359,0.1079546077086169,dlPFC
MFG,0.05490131008420617,0.10585334234266673,0.06052424604788835,0.06374029851456271,0.10970301886954216,MFG
IFG,0.04921185177533717,0.09861646648222593,0.0539080577679288,0.05686831767355996,0.10244039927782779,IFG
