,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.04491138934366379,70.04582827824173,3733774.6876291973,0.12936189320715646,rACC
dACC,0.04431889480872653,68.36225757457258,3718180.4650252447,0.12706290773233983,dACC
vlPFC,0.04730576155909649,75.43407606479765,3897393.486707375,0.13830500527672138,vlPFC
vmPFC,0.043837095602971554,71.9404582981967,3852504.7432465516,0.13210086442710717,vmPFC
OFCant,0.04795294794013594,75.00264646500689,3652110.5816461407,0.13747335677103817,OFCant
OFClat,0.03940961801158671,61.57469078920231,3405331.8825417315,0.11421490793237643,OFClat
OFCmed,0.04830563994616499,75.80637529594149,3729968.5822367743,0.13915694302946144,OFCmed
OFCpost,0.0448585661817027,70.9473406588584,3815984.3301392854,0.13049564293986116,OFCpost
dmPFC,0.04496412239930625,76.710232918439,4154819.8654084573,0.14021034310516192,dmPFC
dlPFC,0.04573472546710944,77.2152304717161,4273539.307171636,0.14087403873308027,dlPFC
MFG,0.04543168533080599,78.05458529082001,4247241.127323023,0.14225935157052247,MFG
IFG,0.044711115709054616,74.33775309189714,3950043.5407111193,0.13594835734487204,IFG
