,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,Weighted RW Update by day_corr,ROI
rACC,0.0355865505676,45.579283022,3736569.77785,0.0657314604847,0.0377295718906,52.1897771896,3735941.38295,0.079003735343,0.0358048469948,46.3150809372,3736527.79284,0.0655282121194,rACC
dACC,0.0355673168051,44.9503409936,3720802.88398,0.0651623941855,0.0377729453806,51.8226410735,3720155.78457,0.0789141600748,0.0357954101305,45.7283108078,3720757.97727,0.0650340719582,dACC
vlPFC,0.0357310618387,46.5710187322,3900867.57544,0.0670495479688,0.0381020905189,53.7058653003,3900170.9012,0.0812460022069,0.0359587005896,47.3214127242,3900822.79282,0.0668732526804,vlPFC
vmPFC,0.0345177562167,48.4632240717,3855295.06962,0.0710182018882,0.0368245711621,55.1752149898,3854618.46644,0.0844151680212,0.0348555023008,49.5196230307,3855217.55463,0.0714330562415,vmPFC
OFCant,0.0379761757295,50.8300448508,3655109.57594,0.0743323185369,0.0402592578692,57.2292548799,3654437.60979,0.0872077442059,0.0381073882182,51.237741269,3655093.47513,0.073511421575,OFCant
OFClat,0.0320503683851,39.6918718344,3407527.44934,0.0556930038652,0.0343596806936,47.6255191339,3406851.85845,0.0713315193115,0.032761626898,42.3102516736,3407339.12081,0.0589346898035,OFClat
OFCmed,0.0377182377622,50.1823344187,3733151.29167,0.0734190187076,0.0400757597836,56.8504784407,3732457.2009,0.0867791196902,0.0378834072459,50.696182609,3733125.04816,0.0727904915564,OFCmed
OFCpost,0.0352539134765,46.037246804,3818862.71704,0.0663001333479,0.0378427909706,53.8533970916,3818101.26523,0.08171287921,0.0356708979293,47.3999304557,3818761.48769,0.0672298399983,OFCpost
dmPFC,0.0341568305116,50.987051064,4158057.00264,0.0756723712013,0.0362024288818,56.7166633966,4157458.63696,0.0872743988592,0.0342628381837,51.3182303034,4158048.56527,0.0748159485847,dmPFC
dlPFC,0.0346983307373,51.0392707322,4276847.32936,0.0753910668146,0.0367427029555,56.7635012125,4276248.98736,0.0869915133438,0.0346097377778,50.797503741,4276896.86985,0.0734953792731,dlPFC
MFG,0.0340085058489,51.1724242696,4250663.31601,0.0758034416223,0.0358001471775,56.205347649,4250140.82504,0.0861516417697,0.0337411178342,50.4014203345,4250766.07444,0.0729798983428,MFG
IFG,0.0341892317417,48.2893888421,3953194.82528,0.0704599790707,0.0360534166428,53.7933267752,3952650.58521,0.0816882781537,0.0340860772418,47.9886434419,3953248.68878,0.0684522815398,IFG
