,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,Weighted RW Update by day_corr,ROI
rACC,0.0622131136547,52.1699008397,3698420.74997,0.0934910543309,0.0640950716381,57.4926740216,3697855.66235,0.101163646836,0.0614810845997,49.9769368028,3698667.87496,0.0845516138427,rACC
dACC,0.0624828575737,51.5620121548,3686650.68569,0.0924031851676,0.0639338737575,55.7561190785,3686217.61823,0.0982744775871,0.0613554910625,48.0904682114,3687018.80466,0.0813980691504,dACC
vlPFC,0.0603841342133,47.4545424976,3841141.69446,0.0859224239288,0.0621425239716,52.871230674,3840615.55489,0.0938502894118,0.0598909400868,45.8494639896,3841315.46496,0.0780289361625,vlPFC
vmPFC,0.0570846771865,51.0447904815,3815418.6246,0.0920469719906,0.0589009410628,56.2637615416,3814876.71569,0.0996191187364,0.0564640397734,49.1635476207,3815630.64405,0.083850331559,vmPFC
OFCant,0.0638428634147,52.8355450718,3755963.62088,0.0948710450102,0.0659800181079,58.7861758047,3755319.10709,0.103538526199,0.0633669421488,51.4425518307,3756132.654,0.0871608413246,OFCant
OFClat,0.041428142503,37.2616066415,3545942.72764,0.0680773557844,0.0424465174081,41.184935929,3545649.16288,0.0738342157199,0.0410448517706,35.7091876857,3546080.62261,0.0611390726157,OFClat
OFCmed,0.0652390370336,50.6619830065,3742526.96259,0.0915172846023,0.0674810429267,57.1311845756,3741849.19281,0.101055856671,0.0649575107828,49.8141858176,3742636.5399,0.0846428286914,OFCmed
OFCpost,0.0537998887945,45.9244415728,3834992.9093,0.0829309594806,0.055275672803,50.6140022221,3834556.39946,0.0897319789736,0.053280578658,44.1865406067,3835173.55078,0.0750881918097,OFCpost
dmPFC,0.0507368955388,45.5629689279,4116233.39147,0.0824869197232,0.052213462815,50.2736005284,4115798.09135,0.0893522183988,0.0502159722719,43.8111716359,4116414.01241,0.074770782413,dmPFC
dlPFC,0.0493759272051,44.4272609493,4281107.92922,0.0804742176116,0.0508571605909,49.2529204853,4280671.85813,0.0875471288396,0.0489439527643,42.9478241597,4281261.47824,0.0732588790097,dlPFC
MFG,0.050563316993,44.256013072,4235384.36573,0.0795892623454,0.0522525795685,49.7467807475,4234884.73181,0.0877054710154,0.0503467718513,43.5282116993,4235472.96527,0.0735005245551,MFG
IFG,0.0515770063266,43.4002980771,3925854.98873,0.0784331114569,0.0533277414755,49.1827897529,3925336.16812,0.0870407939542,0.0513761550723,42.713249533,3925938.90917,0.0723816746374,IFG
