,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,ROI
rACC,0.03700339162790492,0.07074561573509075,0.0015955959091308054,0.00262524575568316,0.11386929411403407,rACC
dACC,0.034187898239472464,0.06828574291486879,-0.0015954456230995852,-0.0005631255274327692,0.11190826976688804,dACC
vlPFC,0.02675242779383314,0.06223435302458189,-0.0068857873412444225,-0.005723064279804126,0.10541945367360558,vlPFC
vmPFC,0.036260740976579775,0.07195898579670854,0.004740599719312536,0.005790076415129275,0.11366194431838125,vmPFC
OFCant,0.03367397038721093,0.0716317827157735,0.0003432816053654471,0.0014828095298234445,0.11598084143743058,OFCant
OFClat,0.0173804884550285,0.05140927120249658,-0.005289946675717936,-0.004102881082780341,0.08665953159636586,OFClat
OFCmed,0.03496488595809527,0.07078333490902389,-0.0007235438673128398,0.0003787699689980816,0.11544845567869985,OFCmed
OFCpost,0.025739943642670394,0.062476526853116304,-0.0027745865639445862,-0.001597266336488563,0.10310254273271757,OFCpost
dmPFC,0.026621497707056695,0.06358399453818125,0.000170481405254562,0.0013180641370845354,0.10286132469945493,dmPFC
dlPFC,0.024928236552899108,0.06179825368111618,-0.001159729439410324,-1.961127719732553e-06,0.1008279902060123,dlPFC
MFG,0.02657556185862106,0.05966361459236301,-0.002703441798835118,-0.0016232251664171017,0.09839961364700145,MFG
IFG,0.024677789575139424,0.05718998770454514,-0.006280348849743548,-0.005194331046983128,0.09672494032945719,IFG
