,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.0534181782217682,-5.224857892443455,3701077.240689074,0.03700339162790505,rACC
dACC,0.05396645517126797,-6.9689106409365635,3689223.4391901065,0.03418789823947263,dACC
vlPFC,0.05343905920343883,-11.279729180845571,3843232.53871413,0.02675242779383363,vlPFC
vmPFC,0.04860399815298566,-4.641874430280189,3817965.804807595,0.036260740976580254,vmPFC
OFCant,0.05493981520131097,-7.684515572241075,3758657.5958107053,0.03367397038721135,OFCant
OFClat,0.037283793982511026,-12.029813625013873,3547158.0147485,0.017380488455028674,OFClat
OFCmed,0.057072759102138604,-7.506124098770415,3745000.7648536107,0.03496488595809556,OFCmed
OFCpost,0.04719332683107347,-10.101666715768706,3836967.1279530907,0.025739943642670658,OFCpost
dmPFC,0.04414039864238617,-8.868514202651832,4118198.1648556027,0.026621497707056782,dmPFC
dlPFC,0.04314859828398132,-9.525374677931625,4282959.135234883,0.024928236552899604,dlPFC
MFG,0.04433886642976603,-8.612355688231903,4237237.043596709,0.026575561858621338,MFG
IFG,0.04570443597483653,-10.173531763332166,3927603.8356107664,0.02467778957513999,IFG
