,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.0665905042429803,63.88006607015725,3697077.672970492,0.1179318669441607,rACC
dACC,0.06674385849146991,63.098348536809375,3685343.0239766436,0.11657839473925417,dACC
vlPFC,0.06472200716203236,59.94798066039068,3839813.3671369078,0.11159605917176023,vlPFC
vmPFC,0.062003555390713894,64.22276531888717,3813917.202428244,0.11869281615177824,vmPFC
OFCant,0.06888426662081415,66.03738605923336,3754413.5595152806,0.12176746764296394,OFCant
OFClat,0.04527622003750065,50.507640314663355,3544788.034703267,0.09439374211203105,OFClat
OFCmed,0.07079923035676627,65.57204793237085,3740814.3529782034,0.12123222338016613,OFCmed
OFCpost,0.058438573853291764,59.44452346476804,3833582.150339227,0.11009677644275709,OFCpost
dmPFC,0.05538382338528125,59.146722861089565,4114824.690882034,0.1096430076973186,dmPFC
dlPFC,0.05400255105068108,58.20094409182158,4279707.411634138,0.10790701662138513,dlPFC
MFG,0.054550723939542745,56.36937101995306,4234176.239502229,0.10437361636891553,MFG
IFG,0.055221235269411584,54.7548381071845,3924749.8584465827,0.10199687374991302,IFG
