6.0408	2.3241	0.15495
14.047	2.2601	0.48462
22.356	1.7428	-1.4934
41.451	2.194	-0.5044
61.375	2.211	-0.5044
121.69	1.8947	0.48462
152.38	1.7407	0.15495
174.36	2.9355	-1.1637
206.13	2.6069	-1.1637
241.48	2.1312	-1.1637
264.52	1.4254	2.7923
306.17	1.8492	0.81429
315.55	1.8692	-0.5044
335.63	2.0656	0.48462
347.71	2.1766	-0.83407
368.38	2.4435	-0.83407
385.27	1.4499	0.15495
431.12	1.2319	0.15495
465.95	1.1448	0.15495
487.26	1.1963	-0.17473
554.2	1.7983	0.15495
562.85	1.7887	0.81429
599.63	1.4147	-0.5044
